sigla;reh;vigencia_inicio;vigencia_fim;subgrupo;modalidade;classe;subclasse;detalhe;acessante;posto;unidade;vlr_tusd;vlr_te;vlr_total
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Fora ponta;R$/kW;1078.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Fora ponta;R$/kW;1078.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Fora ponta;R$/MWh;3553.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Fora ponta;R$/MWh;3553.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Fora ponta;R$/kW;1078.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Fora ponta;R$/kW;1078.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Fora ponta;R$/MWh;8692.0;32541.0;41233.0
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Fora ponta;R$/MWh;8692.0;32541.0;41233.0
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;SCEE;Não se aplica;Fora ponta;R$/MWh;8692.0;4608.0;13300.0
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;SCEE;Não se aplica;Fora ponta;R$/MWh;8692.0;4608.0;13300.0
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Ponta;R$/kW;1325.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Ponta;R$/kW;1325.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Ponta;R$/MWh;3553.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;APE;Não se aplica;Ponta;R$/MWh;3553.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Ponta;R$/kW;1325.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Ponta;R$/kW;1325.0;;
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2025-05-26;2025-12-31;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Ponta;R$/MWh;8692.0;52653.0;61345.0
Amazonas Energia;REH Nº 3.454, DE 20 DE MAIO DE 2025;2026-01-01;2026-05-25;A3;Azul;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Ponta;R$/MWh;8692.0;52653.0;61345.0
